9
Philadelphia, 10.1
Washington D.C., 11.2
New York, 15.3
Boston, 20.4
Trenton, 17.5
Palo Alto, 20.6
San Francisco, 13.7
Los Angeles, 8.8
Binghamton, -2.9
Binghamton, New York, 8
San Francisco, Los Angeles, 40
Philadelphia, Washington D.C., 10
New York, Washington D.C., 2
Trenton, New York, 3
Palo Alto, Los Angeles, 15
San Francisco, Palo Alto, 11
Boston, New York, 6
New York, Philadelphia, 18
Philadelphia, Boston, 21
San Francisco, Los Angeles, 4
Binghamton, San Francisco, 12
Los Angeles, Palo Alto, 30
